y,g_hat,dg_hat
-9.040000000000000258e-01,-8.222703906591860568e-02,-1.593770385984264237e+00
-9.030000000000000249e-01,-8.382729782650098771e-02,-1.606710974632072464e+00
-9.020000000000000240e-01,-8.544046101518275316e-02,-1.619579267233902442e+00
-9.010000000000000231e-01,-8.706645636096879692e-02,-1.632375313173454856e+00
-9.000000000000000222e-01,-8.870521164152966875e-02,-1.645099160409557726e+00
-8.990000000000000213e-01,-9.035665468178791238e-02,-1.657750855500303544e+00
-8.980000000000000204e-01,-9.202071335253027284e-02,-1.670330443625978489e+00
-8.970000000000000195e-01,-9.369731556903987402e-02,-1.682837968612780344e+00
-8.960000000000000187e-01,-9.538638928975583242e-02,-1.695273472956444039e+00
-8.950000000000000178e-01,-9.708786251495275799e-02,-1.707636997843856363e+00
-8.940000000000000169e-01,-9.880166328544355558e-02,-1.719928583177420478e+00
-8.930000000000000160e-01,-1.005277196813076090e-01,-1.732148267597146685e+00
-8.920000000000000151e-01,-1.022659598206378528e-01,-1.744296088503020314e+00
-8.910000000000000142e-01,-1.040163118583136426e-01,-1.756372082077312768e+00
-8.900000000000000133e-01,-1.057787039847924854e-01,-1.768376283307375729e+00
-8.890000000000000124e-01,-1.075530644249284018e-01,-1.780308726007660880e+00
-8.880000000000000115e-01,-1.093393214368078015e-01,-1.792169442840808813e+00
-8.870000000000000107e-01,-1.111374033106100195e-01,-1.803958465339974282e+00
-8.860000000000000098e-01,-1.129472383674877539e-01,-1.815675823930753552e+00
-8.850000000000000089e-01,-1.147687549584715389e-01,-1.827321547952386993e+00
-8.840000000000000080e-01,-1.166018814633925371e-01,-1.838895665678677460e+00
-8.830000000000000071e-01,-1.184465462898288968e-01,-1.850398204339512631e+00
-8.820000000000000062e-01,-1.203026778720715645e-01,-1.861829190141783386e+00
-8.810000000000000053e-01,-1.221702046701124700e-01,-1.873188648290451397e+00
-8.800000000000000044e-01,-1.240490551686524723e-01,-1.884476603008778284e+00
-8.790000000000000036e-01,-1.259391578761300257e-01,-1.895693077559251094e+00
-8.780000000000000027e-01,-1.278404413237709814e-01,-1.906838094263953565e+00
-8.770000000000000018e-01,-1.297528340646579292e-01,-1.917911674524802379e+00
-8.760000000000000009e-01,-1.316762646728205921e-01,-1.928913838843357098e+00
-8.750000000000000000e-01,-1.336106617423446496e-01,-1.939844606841020891e+00
-8.739999999999999991e-01,-1.355559538865026281e-01,-1.950703997279063628e+00
-8.729999999999999982e-01,-1.375120697369027756e-01,-1.961492028078254179e+00
-8.719999999999999973e-01,-1.394789379426591425e-01,-1.972208716337817691e+00
-8.709999999999999964e-01,-1.414564871695784265e-01,-1.982854078355174465e+00
-8.699999999999999956e-01,-1.434446460993694938e-01,-1.993428129645877789e+00
-8.689999999999999947e-01,-1.454433434288701921e-01,-2.003930884961533820e+00
-8.679999999999999938e-01,-1.474525078692925650e-01,-2.014362358309341516e+00
-8.669999999999999929e-01,-1.494720681454888844e-01,-2.024722562971277284e+00
-8.659999999999999920e-01,-1.515019529952351396e-01,-2.035011511521844341e+00
-8.649999999999999911e-01,-1.535420911685325684e-01,-2.045229215847456317e+00
-8.639999999999999902e-01,-1.555924114269300329e-01,-2.055375687164627152e+00
-8.629999999999999893e-01,-1.576528425428618263e-01,-2.065450936037990459e+00
-8.619999999999999885e-01,-1.597233132990060200e-01,-2.075454972398830478e+00
-8.609999999999999876e-01,-1.618037524876594913e-01,-2.085387805562177732e+00
-8.599999999999999867e-01,-1.638940889101303811e-01,-2.095249444246206849e+00
-8.589999999999999858e-01,-1.659942513761518967e-01,-2.105039896588621673e+00
-8.579999999999999849e-01,-1.681041687033076326e-01,-2.114759170164361990e+00
-8.569999999999999840e-01,-1.702237697164806218e-01,-2.124407272004162905e+00
-8.559999999999999831e-01,-1.723529832473159606e-01,-2.133984208610684163e+00
-8.549999999999999822e-01,-1.744917381337020013e-01,-2.143489985975961076e+00
