y,u,v,w_imag
-9.074999999999999734e-01,1.057521023533901927e-01,-1.373455314813924223e-02,-1.807712489334071526e-01
-9.050000000000000266e-01,1.086220253135266739e-01,-1.444670556738571199e-02,-1.848592945976860469e-01
-9.024999999999999689e-01,1.114926636090311785e-01,-1.517470469165660071e-02,-1.889073764769119701e-01
-9.000000000000000222e-01,1.143640137930896916e-01,-1.591839513751169138e-02,-1.929156442311181219e-01
-8.974999999999999645e-01,1.172360714164912693e-01,-1.667762210346445881e-02,-1.968842469906827430e-01
-8.950000000000000178e-01,1.201088310375551527e-01,-1.745223136792574056e-02,-2.008133333601110071e-01
-8.924999999999999600e-01,1.229822862320070626e-01,-1.824206928716332748e-02,-2.047030514218083908e-01
-8.900000000000000133e-01,1.258564296028023832e-01,-1.904698279327459234e-02,-2.085535487398455512e-01
-8.874999999999999556e-01,1.287312527898976378e-01,-1.986681939217584819e-02,-2.123649723637156816e-01
-8.850000000000000089e-01,1.316067464799699771e-01,-2.070142716160379426e-02,-2.161374688320813753e-01
-8.824999999999999512e-01,1.344829004160862651e-01,-2.155065474913412521e-02,-2.198711841765157160e-01
-8.800000000000000044e-01,1.373597034073193168e-01,-2.241435137021265817e-02,-2.235662639252311845e-01
-8.774999999999999467e-01,1.402371433383154398e-01,-2.329236680620217284e-02,-2.272228531068025414e-01
-8.750000000000000000e-01,1.431152071788092672e-01,-2.418455140244352500e-02,-2.308410962538784139e-01
-8.725000000000000533e-01,1.459938809930902415e-01,-2.509075606633047115e-02,-2.344211374068839726e-01
-8.699999999999999956e-01,1.488731499494176658e-01,-2.601083226539975188e-02,-2.379631201177155597e-01
-8.674999999999999378e-01,1.517529983293863793e-01,-2.694463202543577116e-02,-2.414671874534228824e-01
-8.649999999999999911e-01,1.546334095372431383e-01,-2.789200792858785236e-02,-2.449334819998842117e-01
-8.625000000000000444e-01,1.575143661091538416e-01,-2.885281311150426561e-02,-2.483621458654703684e-01
-8.599999999999999867e-01,1.603958497224214907e-01,-2.982690126347854395e-02,-2.517533206846980787e-01
-8.574999999999999289e-01,1.632778412046552718e-01,-3.081412662461130783e-02,-2.551071476218742529e-01
-8.549999999999999822e-01,1.661603205428915930e-01,-3.181434398398463870e-02,-2.584237673747288300e-01
-8.525000000000000355e-01,1.690432668926667159e-01,-3.282740867785296363e-02,-2.617033201780388785e-01
-8.499999999999999778e-01,1.719266585870422581e-01,-3.385317658784550710e-02,-2.649459458072404017e-01
-8.475000000000000311e-01,1.748104731455803473e-01,-3.489150413918492427e-02,-2.681517835820284024e-01
-8.449999999999999734e-01,1.776946872832754210e-01,-3.594224829891860123e-02,-2.713209723699504528e-01
-8.425000000000000266e-01,1.805792769194347613e-01,-3.700526657416407933e-02,-2.744536505899833334e-01
-8.399999999999999689e-01,1.834642171865155380e-01,-3.808041701036908588e-02,-2.775499562161042322e-01
-8.375000000000000222e-01,1.863494824389118065e-01,-3.916755818958485291e-02,-2.806100267808460669e-01
-8.349999999999999645e-01,1.892350462616985973e-01,-4.026654922875343851e-02,-2.836339993788444258e-01
-8.325000000000000178e-01,1.921208814793265440e-01,-4.137724977800858600e-02,-2.866220106703717962e-01
-8.299999999999999600e-01,1.950069601642729356e-01,-4.249952001899102300e-02,-2.895741968848602466e-01
-8.275000000000000133e-01,1.978932536456454450e-01,-4.363322066317663200e-02,-2.924906938244123955e-01
-8.249999999999999556e-01,2.007797325177416714e-01,-4.477821295021892217e-02,-2.953716368673012238e-01
-8.225000000000000089e-01,2.036663666485618307e-01,-4.593435864630440735e-02,-2.982171609714564520e-01
-8.200000000000000622e-01,2.065531251882784802e-01,-4.710152004252259050e-02,-3.010274006779407041e-01
-8.175000000000000044e-01,2.094399765776595312e-01,-4.827955995324835492e-02,-3.038024901144127377e-01
-8.149999999999999467e-01,2.123268885564478237e-01,-4.946834171453856621e-02,-3.065425629985763512e-01
-8.125000000000000000e-01,2.152138281716958756e-01,-5.066772918254139335e-02,-3.092477526416210765e-01
-8.100000000000000533e-01,2.181007617860571401e-01,-5.187758673192029157e-02,-3.119181919516472723e-01
-8.074999999999999956e-01,2.209876550860326028e-01,-5.309777925428987161e-02,-3.145540134370790053e-01
-8.049999999999999378e-01,2.238744730901742197e-01,-5.432817215666535526e-02,-3.171553492100660510e-01
-8.024999999999999911e-01,2.267611801572447239e-01,-5.556863135992618635e-02,-3.197223309898698518e-01
-8.000000000000000444e-01,2.296477399943347986e-01,-5.681902329729188184e-02,-3.222550901062404827e-01
-7.974999999999999867e-01,2.325341156649368413e-01,-5.807921491281105297e-02,-3.247537575027784063e-01
-7.949999999999999289e-01,2.354202695969750403e-01,-5.934907365986433897e-02,-3.272184637402819618e-01
-7.924999999999999822e-01,2.383061635907946230e-01,-6.062846749967871346e-02,-3.296493390000853618e-01
-7.900000000000000355e-01,2.411917588271084434e-01,-6.191726489985690390e-02,-3.320465130873803683e-01
-7.874999999999999778e-01,2.440770158749004937e-01,-6.321533483291805200e-02,-3.344101154345262561e-01
-7.850000000000000311e-01,2.469618946992872821e-01,-6.452254677485154410e-02,-3.367402751043441222e-01
-7.824999999999999734e-01,2.498463546693403259e-01,-6.583877070368458762e-02,-3.390371207934019804e-01
-7.800000000000000266e-01,2.527303545658632911e-01,-6.716387709806141693e-02,-3.413007808352817030e-01
-7.774999999999999689e-01,2.556138525891310520e-01,-6.849773693583569023e-02,-3.435313832038355275e-01
-7.750000000000000222e-01,2.584968063665853966e-01,-6.984022169267570246e-02,-3.457290555164262424e-01
-7.724999999999999645e-01,2.613791729604924563e-01,-7.119120334068190781e-02,-3.478939250371572145e-01
-7.700000000000000178e-01,2.642609088755560331e-01,-7.255055434701701556e-02,-3.500261186800843749e-01
-7.674999999999999600e-01,2.671419700664942609e-01,-7.391814767254875629e-02,-3.521257630124166038e-01
-7.650000000000000133e-01,2.700223119455727461e-01,-7.529385677050473569e-02,-3.541929842577023479e-01
-7.624999999999999556e-01,2.729018893901007936e-01,-7.667755558514062486e-02,-3.562279082990010837e-01
-7.600000000000000089e-01,2.757806567498846673e-01,-7.806911855041896720e-02,-3.582306606820411798e-01
-7.575000000000000622e-01,2.786585678546434908e-01,-7.946842058870207115e-02,-3.602013666183634388e-01
-7.550000000000000044e-01,2.815355760213851255e-01,-8.087533710945614407e-02,-3.621401509884506487e-01
-7.524999999999999467e-01,2.844116340617423022e-01,-8.228974400796708333e-02,-3.640471383448413145e-01
-7.500000000000000000e-01,2.872866942892699504e-01,-8.371151766407015915e-02,-3.659224529152316774e-01
-7.475000000000000533e-01,2.901607085267045583e-01,-8.514053494088981433e-02,-3.677662186055612459e-01
-7.449999999999999956e-01,2.930336281131835641e-01,-8.657667318359267561e-02,-3.695785590030833401e-01
-7.424999999999999378e-01,2.959054039114267787e-01,-8.801981021815181994e-02,-3.713595973794238114e-01
-7.399999999999999911e-01,2.987759863148796713e-01,-8.946982435012333645e-02,-3.731094566936217216e-01
-7.375000000000000444e-01,3.016453252548191299e-01,-9.092659436343479562e-02,-3.748282595951575868e-01
-7.349999999999999867e-01,3.045133702074201421e-01,-9.238999951918494546e-02,-3.765161284269659681e-01
-7.324999999999999289e-01,3.073800702007851160e-01,-9.385991955445553703e-02,-3.781731852284344053e-01
-7.299999999999999822e-01,3.102453738219357882e-01,-9.533623468113465449e-02,-3.797995517383847552e-01
-7.275000000000000355e-01,3.131092292237687702e-01,-9.681882558475181366e-02,-3.813953493980435927e-01
-7.249999999999999778e-01,3.159715841319727936e-01,-9.830757342332460680e-02,-3.829606993539941828e-01
-7.224999999999999201e-01,3.188323858519079845e-01,-9.980235982621601942e-02,-3.844957224611149083e-01
-7.199999999999999734e-01,3.216915812754508330e-01,-1.013030668930045425e-01,-3.860005392855026529e-01
-7.175000000000000266e-01,3.245491168878005817e-01,-1.028095771923644430e-01,-3.874752701073814753e-01
-7.149999999999999689e-01,3.274049387742503092e-01,-1.043217737609586498e-01,-3.889200349239945731e-01
-7.124999999999999112e-01,3.302589926269202669e-01,-1.058395401023403820e-01,-3.903349534524839792e-01
-7.099999999999999645e-01,3.331112237514571306e-01,-1.073627601858692243e-01,-3.917201451327514961e-01
-7.075000000000000178e-01,3.359615770736956164e-01,-1.088913184456362648e-01,-3.930757291303065837e-01
-7.050000000000000711e-01,3.388099971462851800e-01,-1.104250997794002653e-01,-3.944018243390987610e-01
-7.025000000000000133e-01,3.416564281552803561e-01,-1.119639895475359470e-01,-3.956985493843351298e-01
-6.999999999999999556e-01,3.445008139266969027e-01,-1.135078735719921156e-01,-3.969660226252796908e-01
-6.975000000000000089e-01,3.473430979330311419e-01,-1.150566381352612216e-01,-3.982043621580416137e-01
-6.950000000000000622e-01,3.501832232997459382e-01,-1.166101699793600649e-01,-3.994136858183448546e-01
-6.925000000000000044e-01,3.530211328117202618e-01,-1.181683563048203933e-01,-4.005941111842835634e-01
-6.899999999999999467e-01,3.558567689196642791e-01,-1.197310847696911318e-01,-4.017457555790615586e-01
-6.875000000000000000e-01,3.586900737465004152e-01,-1.212982434885498673e-01,-4.028687360737164824e-01
-6.850000000000000533e-01,3.615209890937096104e-01,-1.228697210315270599e-01,-4.039631694898290215e-01
-6.824999999999999956e-01,3.643494564476434938e-01,-1.244454064233389834e-01,-4.050291724022153650e-01
-6.799999999999999378e-01,3.671754169858019168e-01,-1.260251891423312121e-01,-4.060668611416052287e-01
-6.774999999999999911e-01,3.699988115830761815e-01,-1.276089591195339878e-01,-4.070763517973025047e-01
-6.750000000000000444e-01,3.728195808179607940e-01,-1.291966067377260663e-01,-4.080577602198334763e-01
-6.724999999999999867e-01,3.756376649787284139e-01,-1.307880228305104142e-01,-4.090112020235753265e-01
-6.699999999999999289e-01,3.784530040695729403e-01,-1.323830986813986643e-01,-4.099367925893724895e-01
-6.674999999999999822e-01,3.812655378167189579e-01,-1.339817260229070328e-01,-4.108346470671349615e-01
-6.650000000000000355e-01,3.840752056744990983e-01,-1.355837970356616462e-01,-4.117048803784222888e-01
-6.624999999999999778e-01,3.868819468313957066e-01,-1.371892043475141931e-01,-4.125476072190106258e-01
-6.599999999999999201e-01,3.896857002160521999e-01,-1.387978410326666245e-01,-4.133629420614456373e-01
-6.574999999999999734e-01,3.924864045032497306e-01,-1.404096006108075945e-01,-4.141509991575778593e-01
-6.550000000000000266e-01,3.952839981198533192e-01,-1.420243770462570332e-01,-4.149118925410831826e-01
-6.524999999999999689e-01,3.980784192507236252e-01,-1.436420647471213785e-01,-4.156457360299678494e-01
-6.499999999999999112e-01,4.008696058445964661e-01,-1.452625585644578554e-01,-4.163526432290576285e-01
-6.474999999999999645e-01,4.036574956199322495e-01,-1.468857537914495248e-01,-4.170327275324691163e-01
-6.450000000000000178e-01,4.064420260707299337e-01,-1.485115461625890476e-01,-4.176861021260687701e-01
-6.425000000000000711e-01,4.092231344723136210e-01,-1.501398318528719966e-01,-4.183128799899131778e-01
-6.400000000000000133e-01,4.120007578870825693e-01,-1.517705074770002160e-01,-4.189131739006748401e-01
-6.374999999999999556e-01,4.147748331702317826e-01,-1.534034700885938129e-01,-4.194870964340514097e-01
-6.350000000000000089e-01,4.175452969754433474e-01,-1.550386171794135293e-01,-4.200347599671606091e-01
-6.325000000000000622e-01,4.203120857605416871e-01,-1.566758466785911630e-01,-4.205562766809165520e-01
-6.300000000000000044e-01,4.230751357931219481e-01,-1.583150569518707307e-01,-4.210517585623925196e-01
-6.274999999999999467e-01,4.258343831561440807e-01,-1.599561468008568466e-01,-4.215213174071675284e-01
-6.250000000000000000e-01,4.285897637534985538e-01,-1.615990154622743979e-01,-4.219650648216555777e-01
-6.225000000000000533e-01,4.313412133155399286e-01,-1.632435626072355206e-01,-4.223831122254212422e-01
-6.199999999999999956e-01,4.340886674045890681e-01,-1.648896883405166214e-01,-4.227755708534770007e-01
-6.174999999999999378e-01,4.368320614204059815e-01,-1.665372931998433670e-01,-4.231425517585677420e-01
-6.149999999999999911e-01,4.395713306056328595e-01,-1.681862781551857478e-01,-4.234841658134346765e-01
-6.125000000000000444e-01,4.423064100512040242e-01,-1.698365446080610519e-01,-4.238005237130694214e-01
-6.099999999999999867e-01,4.450372347017299557e-01,-1.714879943908453053e-01,-4.240917359769472150e-01
-6.074999999999999289e-01,4.477637393608461802e-01,-1.731405297660947862e-01,-4.243579129512460302e-01
-6.049999999999999822e-01,4.504858586965371225e-01,-1.747940534258746736e-01,-4.245991648110511441e-01
-6.025000000000000355e-01,4.532035272464266518e-01,-1.764484684910969658e-01,-4.248156015625417781e-01
-5.999999999999999778e-01,4.559166794230409270e-01,-1.781036785108668086e-01,-4.250073330451632492e-01
-5.974999999999999201e-01,4.586252495190412115e-01,-1.797595874618370670e-01,-4.251744689337816907e-01
-5.949999999999999734e-01,4.613291717124260449e-01,-1.814160997475715298e-01,-4.253171187408262832e-01
-5.925000000000000266e-01,4.640283800717061036e-01,-1.830731201979163281e-01,-4.254353918184117789e-01
-5.899999999999999689e-01,4.667228085610491406e-01,-1.847305540683796543e-01,-4.255293973604469260e-01
-5.874999999999999112e-01,4.694123910453947279e-01,-1.863883070395188080e-01,-4.255992444047280721e-01
-5.849999999999999645e-01,4.720970612955411871e-01,-1.880462852163372889e-01,-4.256450418350151144e-01
-5.825000000000000178e-01,4.747767529932043207e-01,-1.897043951276878582e-01,-4.256668983830939057e-01
-5.800000000000000711e-01,4.774513997360459450e-01,-1.913625437256853967e-01,-4.256649226308199530e-01
-5.775000000000000133e-01,4.801209350426739464e-01,-1.930206383851258423e-01,-4.256392230121495701e-01
-5.749999999999999556e-01,4.827852923576153032e-01,-1.946785869029142579e-01,-4.255899078151524351e-01
-5.725000000000000089e-01,4.854444050562589097e-01,-1.963362974975011999e-01,-4.255170851840117674e-01
-5.700000000000000622e-01,4.880982064497715878e-01,-1.979936788083252464e-01,-4.254208631210042446e-01
-5.675000000000000044e-01,4.907466297899856222e-01,-1.996506398952644090e-01,-4.253013494884694823e-01
-5.649999999999999467e-01,4.933896082742563194e-01,-2.013070902380946492e-01,-4.251586520107596967e-01
-5.625000000000000000e-01,4.960270750502957515e-01,-2.029629397359560272e-01,-4.249928782761756008e-01
-5.600000000000000533e-01,4.986589632209738610e-01,-2.046180987068272616e-01,-4.248041357388876449e-01
-5.574999999999999956e-01,5.012852058490956386e-01,-2.062724778870059783e-01,-4.245925317208383287e-01
-5.549999999999999378e-01,5.039057359621486043e-01,-2.079259884305977579e-01,-4.243581734136328554e-01
-5.524999999999999911e-01,5.065204865570239745e-01,-2.095785419090119006e-01,-4.241011678804123552e-01
-5.500000000000000444e-01,5.091293906047086315e-01,-2.112300503104649063e-01,-4.238216220577106785e-01
-5.474999999999999867e-01,5.117323810549524454e-01,-2.128804260394908943e-01,-4.235196427572975875e-01
-5.449999999999999289e-01,5.143293908409053428e-01,-2.145295819164586837e-01,-4.231953366680056838e-01
-5.424999999999999822e-01,5.169203528837303940e-01,-2.161774311770967294e-01,-4.228488103575421264e-01
-5.400000000000000355e-01,5.195052000971874806e-01,-2.178238874720250517e-01,-4.224801702742833620e-01
-5.374999999999999778e-01,5.220838653921913153e-01,-2.194688648662934671e-01,-4.220895227490583657e-01
